screen_id,usecase_id,api_id,required_permissions,required_media
EncounterWorkspaceScreen,AmendEncounter,AmendEncounterApi,EncounterSign,ClinicalWorkstation
PatientProfileScreen,ArchivePatient,,PatientProfileWrite,FrontDeskTerminal
RoomBoardScreen,AssignRoom,AssignRoomApi,RoomAssign,NurseStation
ScheduleAdminScreen,BlockScheduleSlot,BlockScheduleSlotApi,ProviderScheduleAdmin,AdminConsole
AppointmentScreen,BookAppointment,BookAppointmentApi,ScheduleWrite,FrontDeskTerminal|PatientMobile
AppointmentScreen,CancelAppointment,CancelAppointmentApi,ScheduleWrite,FrontDeskTerminal|PatientMobile
OrderEntryScreen,CancelClinicalOrder,,ClinicalOrderWrite,ClinicalWorkstation
PrescriptionScreen,CancelPrescription,,PrescriptionWrite,ClinicalWorkstation
ConsentScreen,CaptureConsent,ConsentApi,ConsentCapture,PatientMobile
CheckInScreen,CheckInPatient,CheckInPatientApi,VisitCheckIn,FrontDeskTerminal
CarePlanScreen,CloseCarePlan,,FollowUpManage,CareCoordinationConsole
CopayScreen,CollectCopay,CollectCopayApi,CopayCollect,FrontDeskTerminal
SpecimenScreen,CollectSpecimen,CollectSpecimenApi,ClinicalOrderWrite,NurseStation
EncounterWorkspaceScreen,CompleteAppointment,CompleteAppointmentApi,EncounterOpen,NurseStation
IntakePortalScreen,CompleteIntakeForms,,ConsentCapture,PatientMobile
RoomAdminScreen,ConfigureRoom,RoomAdminApi,RoomAdmin,AdminConsole
PharmacyStatusScreen,ConfirmDispense,ConfirmDispenseApi,PrescriptionDispense,NurseStation
CarePlanScreen,CreateCarePlan,CreateCarePlanApi,FollowUpManage,CareCoordinationConsole
ChargeWorklistScreen,CreateCharge,CreateChargeApi,BillingClaimWrite,BillingWorkstation
DiagnosisScreen,DocumentAssessment,DocumentAssessmentApi,ClinicalDocument,ClinicalWorkstation
PrescriptionScreen,DraftPrescription,DraftPrescriptionApi,PrescriptionWrite,ClinicalWorkstation
IntakePortalScreen,ExpireIntakeForms,,IntakeManage,FrontDeskTerminal
ClaimScreen,GenerateClaim,GenerateClaimApi,BillingClaimWrite,BillingWorkstation
ScheduleAdminScreen,ManageProviderSchedule,ManageProviderScheduleApi,ProviderScheduleAdmin,AdminConsole
AppointmentScreen,MarkNoShow,,ScheduleWrite,FrontDeskTerminal
PatientProfileScreen,MergeDuplicatePatient,,PatientProfileWrite,FrontDeskTerminal
CriticalNoticeScreen,NotifyCriticalResult,CriticalNoticeApi,LabResultManage|PatientMessageSend,ClinicalWorkstation
PatientMessageScreen,NotifyPatientResult,NotifyPatientResultApi,PatientMessageSend,CareCoordinationConsole
EncounterWorkspaceScreen,OpenEncounter,OpenEncounterApi,EncounterOpen,NurseStation
OrderEntryScreen,PlaceLabOrder,OrderEntryApi,ClinicalOrderWrite,ClinicalWorkstation
PaymentPostingScreen,PostPayment,PaymentPostApi,PaymentPost,BillingWorkstation
CheckInScreen,PrepareEncounter,PrepareEncounterApi,EncounterOpen,NurseStation
ClaimScreen,ReceiveClaimAccepted,,BillingClaimWrite,BillingWorkstation
ResultReviewScreen,ReceiveLabResult,ReceiveLabResultApi,LabResultManage,NurseStation
BalanceScreen,ReconcileBalance,BalanceApi,PaymentPost,BillingWorkstation
ClaimScreen,RecordClaimDenial,,BillingClaimWrite,BillingWorkstation
VitalsScreen,RecordVitals,RecordVitalsApi,VitalsRecord,NurseStation
PrescriptionScreen,RefillPrescription,RefillPrescriptionApi,PrescriptionWrite,ClinicalWorkstation
PatientProfileScreen,RegisterPatient,RegisterPatientApi,PatientProfileWrite,FrontDeskTerminal
RoomAdminScreen,ReleaseRoom,,RoomAdmin,AdminConsole
AppointmentScreen,RescheduleAppointment,RescheduleAppointmentApi,ScheduleWrite,FrontDeskTerminal|PatientMobile
AppointmentScreen,ReserveAppointment,ReserveAppointmentApi,ScheduleWrite,FrontDeskTerminal|PatientMobile
AuditReviewScreen,ResolveAuditFinding,,AuditResolve,AdminConsole
AuditReviewScreen,ReviewAuditEvents,AuditApi,AuditRead,AdminConsole
ResultReviewScreen,ReviewLabResult,ResultReviewApi,LabResultManage,ClinicalWorkstation
CarePlanScreen,ReviewPatientResponse,,FollowUpManage,CareCoordinationConsole
FollowUpScheduleScreen,ScheduleFollowUpVisit,FollowUpScheduleApi,FollowUpManage|ScheduleWrite,CareCoordinationConsole
ScheduleSearchScreen,SearchAvailability,SearchAvailabilityApi,ScheduleRead,FrontDeskTerminal|PatientMobile
MedicationSearchScreen,SearchMedication,MedicationCatalogApi,PrescriptionWrite,ClinicalWorkstation
PatientSearchScreen,SearchPatient,SearchPatientApi,PatientProfileRead,FrontDeskTerminal
AppointmentNoticeScreen,SendAppointmentNotice,AppointmentNoticeApi,ScheduleRead,FrontDeskTerminal
PatientMessageScreen,SendFollowUpMessage,SendFollowUpMessageApi,PatientMessageSend,CareCoordinationConsole
IntakePortalScreen,SendIntakeForms,IntakeMessagingApi,IntakeManage|PatientMessageSend,FrontDeskTerminal
PrescriptionScreen,SendPrescription,SendPrescriptionApi,PrescriptionWrite,ClinicalWorkstation
EncounterWorkspaceScreen,SignEncounter,SignEncounterApi,EncounterSign,ClinicalWorkstation
ClaimScreen,SubmitClaim,SubmitClaimApi,BillingClaimWrite,BillingWorkstation
PatientProfileScreen,UpdateDemographics,UpdateDemographicsApi,PatientProfileWrite,FrontDeskTerminal
CheckInScreen,VerifyArrival,VerifyArrivalApi,VisitCheckIn,FrontDeskTerminal
InsuranceScreen,VerifyInsurance,EligibilityApi,InsuranceVerify,FrontDeskTerminal
ChargeWorklistScreen,VoidCharge,,BillingClaimWrite,BillingWorkstation
